"gene","module"
"LINC01705","turquoise"
"TRBV7-6","blue"
"DGCR5","blue"
"ISLR","turquoise"
"DSG2","brown"
"S100A8","turquoise"
"SNTG2","blue"
"FGF7","turquoise"
"XPNPEP2","magenta"
"TRIM50","blue"
"CPXM1","turquoise"
"ITGA11","turquoise"
"EPYC","turquoise"
"COL22A1","turquoise"
"RNU1-4","red"
"SNORA73A","red"
"SLC2A3","turquoise"
"CSTA","turquoise"
"GDF10","blue"
"IGKJ5","purple"
"BCAN-AS1","brown"
"FKBP5","blue"
"FHL5","green"
"ELN","tan"
"SNORA17B","red"
"TENT5C","blue"
"MKNK1","blue"
"S100A16","brown"
"ENO2","brown"
"DUOXA1","brown"
"F11-AS1","blue"
"SPSB4","blue"
"PRR15","yellow"
"IGHV3-11","purple"
"CFAP221","blue"
"PXDN","turquoise"
"RFLNA","yellow"
"SNORA70","red"
"MIR1248","red"
"HUNK","blue"
"ICAM1","turquoise"
"RNF212","blue"
"H2BC11","brown"
"AKAP7","blue"
"SNORD133","red"
"MPZL2","brown"
"HSPB7","green"
"MUC5B-AS1","yellow"
"TC2N","blue"
"SFTA2","brown"
"PTX3","blue"
"CREB3L3","magenta"
"ACKR1","green"
"MOGAT2","magenta"
"COLEC12","turquoise"
"CCL21","turquoise"
"ADCY1","blue"
"H2BC3","brown"
"PDLIM7","turquoise"
"TRBV7-5","blue"
"APCS","grey"
"HNF4G","yellow"
"CYP24A1","greenyellow"
"ITIH4","blue"
"LONRF2","blue"
"TRBV6-8","blue"
"TTTY14","grey"
"VEPH1","blue"
"SMIM38","blue"
"BICDL2","blue"
"CRACR2B","blue"
"LIFR","blue"
"PI3","brown"
"SLCO4A1","brown"
"SLC16A1","brown"
"PTPRN2","blue"
"MARCO","turquoise"
"NDNF","brown"
"RAB3D","blue"
"FHL1","green"
"CAVIN1","turquoise"
"CAMK2N1","brown"
"SERPINH1","turquoise"
"CXCL14","brown"
"GPC6","turquoise"
"PLEKHH3","blue"
"EFNB1","brown"
"HAS2","turquoise"
"TTK","brown"
"IGKV3D-20","purple"
"NEUROD1","pink"
"FBLN2","turquoise"
"PRUNE2","salmon"
"HMCN2","green"
"SLC41A1","blue"
"SUCNR1","turquoise"
"CLDN7","yellow"
"FAM107A","tan"
"DIO2","turquoise"
"SERPINE2","turquoise"
"NEURL3","blue"
"MMP14","turquoise"
"SCARNA12","red"
"CCL19","turquoise"
"PMAIP1","brown"
"SNORA37","red"
"TRK-TTT3-1","black"
"EPHX2","blue"
"XKR9","yellow"
"TAGLN","turquoise"
"MT-CYB","cyan"
"DQX1","yellow"
"RSAD2","turquoise"
"AOC3","turquoise"
"FSTL1","turquoise"
"NR4A3","turquoise"
"NRXN1","pink"
"LOC105369919","blue"
"COQ8A","blue"
"SERPINA6","blue"
"SOCS3","turquoise"
"ANKRD40CL","yellow"
"PSMB9","brown"
"CYP3A43","blue"
"CSDC2","blue"
"FIRRE","blue"
"TRR-CCT3-1","black"
"FYB1","turquoise"
"107984338","black"
"H2AC16","brown"
"MEG3","tan"
"MYOM1","blue"
"SCIN","yellow"
"CECR2","blue"
"H2AC18","brown"
"LOC105375647","yellow"
"ADCYAP1","pink"
"MAP1A","turquoise"
"UMOD","blue"
"KIF14","brown"
"SPEG","green"
"HLA-DRA","turquoise"
"MTRNR2L2","cyan"
"ST8SIA3","blue"
"BAIAP2L2","yellow"
"FGA","grey"
"NUF2","brown"
"FOXA1","brown"
"SYBU-AS1","blue"
"SAMD9","brown"
"CD248","turquoise"
"ERBB4","blue"
"112267956","blue"
"PGA3","grey"
"FGF14","turquoise"
"SNORA53","red"
"ADAMTSL4","black"
"107987113","blue"
"101928841","green"
"BPIFB1","yellow"
"UBE2T","brown"
"SLC30A10","magenta"
"LSAMP","turquoise"
"MGLL","brown"
"TDO2","turquoise"
"ID4","tan"
"DEPDC1B","brown"
"CLEC5A","turquoise"
"TXN","brown"
"TYMP","turquoise"
"PTPRS","tan"
"FSCN1","greenyellow"
"AFF3","turquoise"
"LAMA4","turquoise"
"IGKV1-13","purple"
"SNORA81","red"
"SLC17A9","brown"
"IGHV4-28","purple"
"SNORA10","red"
"MELK","brown"
"TTN","blue"
"PPP1R14C","brown"
"GJB6","brown"
"LOC102724562","blue"
"PNP","brown"
"WNT7A","turquoise"
"CD68","brown"
"SSTR1","yellow"
"IFI16","turquoise"
"MFAP4","green"
"CDCA2","brown"
"SNORA21","red"
"CDH2","turquoise"
"ITLN2","salmon"
"DCLK1","green"
"PIWIL2","blue"
"LGR5","yellow"
"IGKV1D-13","purple"
"C4B","turquoise"
"TECPR1","blue"
"RNF144A","blue"
"GRAMD1B","yellow"
"CD24","blue"
"GPX3","green"
"CGNL1","blue"
"AQP9","turquoise"
"TMEM131L","blue"
"PBK","brown"
"ONECUT3","yellow"
"LCP1","turquoise"
"SLC34A2","grey"
"TRBV7-7","blue"
"LINC02827","blue"
"ADAM8","brown"
"IGKV1-27","purple"
"TRBV7-9","blue"
"SCG2","pink"
"LY6E","turquoise"
"107984234","blue"
"PGA4","grey"
"SAMSN1","turquoise"
"HMCN1","turquoise"
"TMEM40","greenyellow"
"LOC105369517","brown"
"PPP1R14D","yellow"
"LOC105375166","brown"
"MOXD1","turquoise"
"ARL4C","turquoise"
"LOC105375431","yellow"
"PTGES","greenyellow"
"KRT4","turquoise"
"CMBL","yellow"
"CRACD","yellow"
"HOXB3","turquoise"
"KRT6B","turquoise"
"TM4SF5","yellow"
"TMEM92","brown"
"TRBV6-7","blue"
"ACHE","brown"
"NIPAL1","yellow"
"BTNL3","magenta"
"H2BC17","brown"
"HTRA3","turquoise"
"FOS","black"
"LRP1B","pink"
"MIR3609","red"
"IL2RG","brown"
"CD163","turquoise"
"KCNJ8","blue"
"FAM174B","blue"
"MIR10393","brown"
"DLK1","blue"
"PDGFD","blue"
"CSPG4","green"
"CDC20","brown"
"MDFI","turquoise"
"SLC44A5","red"
"ADA","magenta"
"CAPG","brown"
"H2AC17","brown"
"LOC112268271","pink"
"ZNF331","black"
"GPAM","green"
"H2AC19","brown"
"FAT2","greenyellow"
"LRIG1","blue"
"IRAG1","turquoise"
"SMPD3","yellow"
"C5AR1","turquoise"
"MYOC","green"
"ADAMTS17","blue"
"EFEMP1","turquoise"
"WDR74","grey"
"LOC105372693","salmon"
"PHLDA2","brown"
"BNC2","turquoise"
"COL6A2","turquoise"
"ADAMTS1","green"
"TPRN","blue"
"CATSPERB","blue"
"PCLAF","brown"
"LOC107983981","blue"
"HAPLN3","turquoise"
"IGF2BP3","greenyellow"
"107985883","blue"
"IHH","yellow"
"ITGB3","turquoise"
"TMEM176A","brown"
"AADACP1","brown"
"CAPN13","magenta"
"CDKN3","brown"
"TMEM200A","turquoise"
"DDIT4","blue"
"CEACAM20","magenta"
"CCDC3","green"
"LINC02086","greenyellow"
"MTRNR2L1","cyan"
"TMPRSS2","blue"
"RGS1","turquoise"
"CFAP91","blue"
"CASC9","brown"
"SLC19A3","pink"
"ANGPTL4","grey"
"ANK2","green"
"KLF4","brown"
"HBEGF","black"
"MSRB3","turquoise"
"KLK12","salmon"
"IRAK3","turquoise"
"AASS","blue"
"MAPK8IP1","blue"
"SLCO1B3-SLCO1B7","greenyellow"
"CNKSR3","blue"
"PHYHIPL","blue"
"TUBB3","brown"
"CFD","green"
"CACNA1H","green"
"SNORA8","red"
"IGKV1-6","purple"
"CKMT1B","yellow"
"CDX1","yellow"
"H2AC4","brown"
"PLAAT2","yellow"
"CDH23","blue"
"DAPP1","turquoise"
"SGIP1","turquoise"
"WNT2","turquoise"
"LINC00339","blue"
"FUT3","yellow"
"LOC105379574","red"
"CXCL2","black"
"LIPH","yellow"
"TNNI2","turquoise"
"SIK1","blue"
"CXCL13","greenyellow"
"MIR7-3HG","pink"
"IL1A","greenyellow"
"SLC18A1","salmon"
"CRYAB","green"
"INAVA","yellow"
"GALE","yellow"
"S100A9","turquoise"
"IGHD","purple"
"C3orf70","turquoise"
"CARD11","brown"
"CRISPLD2","turquoise"
"OVOL1","grey"
"PTK6","brown"
"KCNE3","yellow"
"HLA-DQB1","turquoise"
"PLXNA2","blue"
"FST","greenyellow"
"CADM2","pink"
"ESCO2","brown"
"ACACB","blue"
"CD74","turquoise"
"H2AC12","brown"
"ISG15","brown"
"TDRD1","blue"
"LOC105369544","blue"
"SLC9C1","blue"
"C4A","turquoise"
"TBX18","turquoise"
"PEX6","blue"
"SYT4","pink"
"TRBV6-5","blue"
"SNORA74D","red"
"RAD51AP1","brown"
"KLF2","black"
"CES1","green"
"NPY5R","blue"
"RNF128","yellow"
"LMCD1","turquoise"
"RNU4-2","red"
"UBE2R2-AS1","blue"
"AGAP11","green"
"CHST11","turquoise"
"VIP","grey"
"OSM","turquoise"
"TNS1","green"
"IL7R","purple"
"GABRB3","blue"
"TREM1","turquoise"
"IGLV3-21","purple"
"PPP1R1B","yellow"
"LOC105370092","blue"
"TRABD2A","brown"
"IGKV3D-15","purple"
"SSR4","blue"
"CXCL10","brown"
"PALLD","turquoise"
"S100A10","brown"
"CFB","brown"
"FOXA3","blue"
"IGSF9B","turquoise"
"SNORA84","red"
"TRBV5-5","blue"
"SGCD","turquoise"
"LYVE1","green"
"SLC38A4","blue"
"KCND2","turquoise"
"PLCXD3","tan"
"PAX8-AS1","grey"
"MIR3651","red"
"WNT10A","greenyellow"
"JPH2","green"
"IFRD1","blue"
"IGKV1D-33","purple"
"HAVCR1","turquoise"
"HLA-DQA1","turquoise"
"CTH","blue"
"TBC1D2","brown"
"ITGA8","green"
"ROS1","greenyellow"
"283174","turquoise"
"FRZB","salmon"
"CENPK","brown"
"UBASH3B","turquoise"
"SYNE3","green"
"CAMK2N2","blue"
"COL4A1","turquoise"
"ACAN","green"
"BCL2A1","turquoise"
"CENPE","brown"
"LOC105372424","turquoise"
"SLC35G1","magenta"
"CIST1","yellow"
"C10orf55","turquoise"
"SYT16","pink"
"NR0B2","magenta"
"PDZK1IP1","yellow"
"ADTRP","brown"
"ACTC1","green"
"SNORA16A","red"
"CDH6","turquoise"
"HAVCR2","turquoise"
"SLC28A3","blue"
"CFAP97D2","blue"
"KCNE4","turquoise"
"C1QB","turquoise"
"COL4A2","turquoise"
"CPE","pink"
"COL24A1","turquoise"
"REEP1","blue"
"FOXQ1","brown"
"SPTSSB","brown"
"SNORA24","red"
"SNORA71A","red"
"CCDC172","blue"
"LOC107984018","blue"
"ADAMTS15","turquoise"
"PPARGC1A","blue"
"BIK","brown"
"B2M","brown"
"PDZRN4","green"
"FAT3","turquoise"
"PRR15L","yellow"
"FGF10","blue"
"BASP1","turquoise"
"THBS4","turquoise"
"TMSB10","brown"
"RASD1","salmon"
"PDPN","turquoise"
"ID1","brown"
"HHIP","grey"
"CAV1","turquoise"
"MYO15B","yellow"
"LOC102723663","brown"
"EMP1","turquoise"
"SIRT4","red"
"ANKRD22","red"
"ZEB2","turquoise"
"CNTN1","pink"
"SRGN","turquoise"
"ITGB2","turquoise"
"JADE1","blue"
"SLC1A1","yellow"
"MYRIP","blue"
"ATRNL1","blue"
"SLC25A15","blue"
"SUSD5","green"
"EGR3","black"
"SOX21","brown"
"ERN1","blue"
"G6PC1","magenta"
"CCN3","black"
"HID1","blue"
"A4GNT","blue"
"EPHX4","brown"
"FER1L6-AS1","yellow"
"LOC221946","black"
"HCN1","blue"
"BACE1-AS","blue"
"SCARNA16","red"
"MIR6516","red"
"STXBP6","blue"
"FBXO2","blue"
"CKMT1A","yellow"
"FKBP1A-SDCBP2","yellow"
"NOL4","pink"
"TENM4","turquoise"
"MIA-RAB4B","brown"
"LOC107984131","turquoise"
"TMEM119","turquoise"
"SGK1","blue"
"CHST4","blue"
"NGFR","turquoise"
"PADI3","greenyellow"
"LOC105374598","blue"
"PIP5K1B","yellow"
"PTPRC","turquoise"
"CXCL3","turquoise"
"ADCY5","tan"
"IGLV1-40","purple"
"NRK","turquoise"
"SCG5","pink"
"CCDC144A","grey"
"LOC105377319","blue"
"COL4A6","turquoise"
"LOC148696","blue"
"ZDHHC11B","blue"
"107987152","turquoise"
"SCD5","blue"
"MYT1L","pink"
"TRBV6-6","blue"
"105371441","black"
"SYTL5","red"
"AVPR1A","green"
"LOC107986239","blue"
"PRKAR2B","blue"
"BLACAT1","brown"
"CCN5","green"
"TUBA1C","brown"
"SVEP1","tan"
"SLC8A2","blue"
"MMP10","brown"
"LOC101929007","blue"
"COL19A1","blue"
"OTOP3","magenta"
"PLEK","turquoise"
"EPCAM","yellow"
"PVT1","brown"
"LOC102724428","blue"
"H3C13","brown"
"ZNF488","brown"
"MSMB","yellow"
"FRMD6","turquoise"
"ITGA5","turquoise"
"DNAJB1","black"
"FPR3","turquoise"
"PCDH20","salmon"
"TRNP1","yellow"
"TMEM154","brown"
"GJB1","blue"
"CNKSR2","blue"
"DNM3OS","turquoise"
"SLC40A1","yellow"
"IGFBP1","brown"
"MMP19","black"
"MN1","turquoise"
"ADGRF4","brown"
"GLI2","turquoise"
"LINC02688","grey"
"CDX2","yellow"
"SLITRK1","blue"
"PLEKHS1","blue"
"DKK2","turquoise"
"GBP5","turquoise"
"ALOX5AP","turquoise"
"PWRN2","blue"
"MIR29B2CHG","blue"
"AKR1C1","turquoise"
"NHERF4","yellow"
"PROM2","grey"
"SERPINF1","turquoise"
"CADPS","blue"
"RAB3B","turquoise"
"LIPG","brown"
"PTPRQ","blue"
"BICC1","blue"
"VGLL3","turquoise"
"LOC285097","blue"
"RND1","black"
"CRAT","blue"
"P2RY2","brown"
"IL1RAP","greenyellow"
"NBL1","brown"
"SIDT2","blue"
"AFAP1-AS1","brown"
"CCL28","yellow"
"NUSAP1","brown"
"EBF1","green"
"MEI4","blue"
"OAS3","brown"
"LRP8","brown"
"CLDN11","turquoise"
"LUZP2","turquoise"
"SNORA26","red"
"CPLX2","pink"
"MCOLN3","blue"
"IGLV2-28","purple"
"MT-TF","cyan"
"SLC9B2","turquoise"
"GPAT3","purple"
"ADAMTS16","blue"
"IDO1","brown"
"GEM","turquoise"
"ABCC2","magenta"
"APOLD1","green"
"GALNT17","blue"
"PKM","brown"
"MIR216A","blue"
"CASQ2","green"
"ITGA7","green"
"GOLM1","yellow"
"HOXB6","brown"
"AQP7","green"
"PBLD","blue"
"STON2","brown"
"SCARNA28","red"
"PDGFRB","turquoise"
"107984294","turquoise"
"RADIL","blue"
"TPM1-AS","blue"
"RAMP1","blue"
"MPEG1","turquoise"
"HR","yellow"
"PTAFR","turquoise"
"TREM2","turquoise"
"PFKP","brown"
"MROH3P","yellow"
"PLA2G7","turquoise"
"CSF3R","turquoise"
"LOC105379613","blue"
"TRBV5-7","blue"
"PTGR1","brown"
"RBP4","pink"
"HNF1B","blue"
"BST2","turquoise"
"HNF4A","yellow"
"IRF4","turquoise"
"HJURP","brown"
"KLHL6","turquoise"
"TM4SF1","turquoise"
"CCDC68","yellow"
"MS4A10","magenta"
"RIC3","blue"
"105379282","blue"
"SIGLEC1","turquoise"
"IGLV3-25","purple"
"FSIP1","turquoise"
"LOC107984215","blue"
"VWA5B2","pink"
"CCN1","turquoise"
"C1QA","turquoise"
"SNORD13","blue"
"SLC7A11-AS1","red"
"HCP5","brown"
"MYOF","turquoise"
"GOLGA8A","blue"
"SLAMF7","purple"
"RNVU1-1","grey"
"EPHA2","brown"
"ZNF710","blue"
"SYNM","green"
"TRY-GTA5-5","black"
"KAAG1","blue"
"ABCC6","blue"
"ADHFE1","blue"
"AQP3","purple"
"SNORD148","blue"
"EPHB3","blue"
"ABLIM3","turquoise"
"VIM","turquoise"
"NLRC5","turquoise"
"GCNT1","yellow"
"LTBP1","turquoise"
"RPS21","red"
"FIBIN","turquoise"
"SNCG","green"
"DDR2","turquoise"
"DZIP1","blue"
"SLC16A5","brown"
"EMILIN1","turquoise"
"POF1B","yellow"
"XBP1","blue"
"TRL-CAG2-1","black"
"BCL11B","brown"
"USP2","blue"
"IL2RA","turquoise"
"LINC00673","brown"
"PLN","green"
"TMEM47","turquoise"
"COL4A5","greenyellow"
"TIMP3","turquoise"
"ARHGAP23","turquoise"
"RUNX2","turquoise"
"TRH-GTG1-8","black"
"VDR","brown"
"LOC105377524","yellow"
"NPSR1","brown"
"STEAP1","brown"
"MSMO1","brown"
"TMEM51-AS1","blue"
"TRBV11-1","blue"
"CREG2","brown"
"TRBV12-2","blue"
"MELTF","brown"
"NMRAL2P","brown"
"ATP10A","turquoise"
"KCNJ3","grey"
"C9orf152","yellow"
"GSDMC","greenyellow"
"RGPD2","grey"
"PSKH1","blue"
"JUNB","black"
"UNC5D","magenta"
"RELN","green"
"ISG20","yellow"
"FCER1G","turquoise"
"GLRX","brown"
"SYT6","blue"
"MIR100HG","turquoise"
"TINAGL1","brown"
"MYH10","green"
"H2AC25","brown"
"SDK2","turquoise"
"TNFSF15","yellow"
"HTATIP2","brown"
"ARFGEF3","blue"
"HMGA1","brown"
"ELF4","brown"
"CYBRD1","turquoise"
"FMN2","pink"
"IGHV4-61","purple"
"C1S","turquoise"
"PRR11","brown"
"DOCK2","turquoise"
"NHSL2","turquoise"
"KCNK16","pink"
"H2BC9","brown"
"WDFY4","turquoise"
"ZNF521","turquoise"
"B4GALNT3","yellow"
"LOC400682","blue"
"GJD2","pink"
"BSPRY","blue"
"MET","brown"
"GAPDH","brown"
"LOC105374836","brown"
"LMF2","blue"
"CCL25","magenta"
"SORBS1","green"
"CKAP2L","brown"
"CBFA2T3","blue"
"LDHA","brown"
"OR8D4","blue"
"LOC105377352","blue"
"MAL2-AS1","yellow"
"LOC102724687","blue"
"SNORA50B","red"
"MIR194-2HG","yellow"
"ATP1B3","turquoise"
"AP1S3","brown"
"FBXO32","turquoise"
"CYBB","turquoise"
"107984656","blue"
"TM6SF2","magenta"
"ALDH1L1","blue"
"ST6GALNAC5","turquoise"
"CDKN2B","brown"
"ZFPM2","turquoise"
"PODN","green"
"HOXB7","brown"
"DPP4","magenta"
"LOC105373225","blue"
"ATP2A3","blue"
"ALDH1A1","blue"
"PLXNA4","green"
"LTK","yellow"
"MSN","turquoise"
"AATK","blue"
"LOC107986127","brown"
"TWIST1","turquoise"
"CLMP","turquoise"
"GPX8","turquoise"
"TSPYL2","black"
"FUT2","yellow"
"CFH","turquoise"
"HLA-L","yellow"
"C4BPA","grey"
"LBH","turquoise"
"DCBLD2","turquoise"
"GUCY1A2","blue"
"CCEPR","blue"
"IGHV5-51","purple"
"SMIM22","yellow"
"IFNE","brown"
"CCNA2","brown"
"PDX1","blue"
"TRIM59","turquoise"
"MT-TE","grey"
"MYLK","turquoise"
"PDLIM3","turquoise"
"TNFSF11","brown"
"CDH19","tan"
"CRIP2","turquoise"
"SERINC2","brown"
"TRBV5-6","blue"
"SLC1A3","turquoise"
"102724584","turquoise"
"C4BPB","yellow"
"ARHGEF38","blue"
"GALNT4","yellow"
"TERC","brown"
"VIL1","yellow"
"ERVE-5","blue"
"MAP3K21","blue"
"RFX6","pink"
"C16orf89","green"
"CPNE7","brown"
"HIF1A-AS2","turquoise"
"FGFR2","blue"
"TMEM238L","yellow"
"STK32A-AS1","blue"
"CREB3L1","blue"
"IGHV3-49","purple"
"PTPRE","turquoise"
"PCDH1","brown"
"POU2AF1","purple"
"LOC107984537","brown"
"CEACAM18","yellow"
"HS3ST3A1","turquoise"
"IFI30","turquoise"
"ADAMTSL4-AS1","black"
"TRBV5-4","blue"
"H3C12","brown"
"CEP192P1","yellow"
"GRIP2","turquoise"
"EPHX1","blue"
"CD86","turquoise"
"KCP","turquoise"
"GAS1","tan"
"MIR217","blue"
"LOC105369938","grey"
"RPL39","red"
"SPINK5","brown"
"NECTIN4","brown"
"112268100","turquoise"
"SPATA31G1","black"
"CHDH","blue"
"SLC37A2","turquoise"
"MRC2","turquoise"
"STUM","green"
"ATP2C2","brown"
"RHPN2","yellow"
"PRR5L","brown"
"B3GALT5","yellow"
"LOC101929444","salmon"
"TRBV12-1","blue"
"PAPPA2","blue"
"KIF11","brown"
"PTGER4","blue"
"PLCB4","yellow"
"GDF15","blue"
"NCMAP","blue"
"LOC158434","blue"
"VCAM1","turquoise"
"HLA-F","brown"
"MXD1","yellow"
"CCR7","turquoise"
"CD53","turquoise"
"BIRC3","brown"
"ABCA12","greenyellow"
"PLK1","brown"
"EFNB2","brown"
"SLC39A8","blue"
"TMEM236","magenta"
"PPP1R9A","blue"
"EEF1AKMT4-ECE2","blue"
"PHYHD1","blue"
"ADH4","magenta"
"PPP2R2D","blue"
"LOC105375207","brown"
"VAV1","turquoise"
"CES3","magenta"
"PPP1R15A","black"
"HOXB2","turquoise"
"IRF8","brown"
"FREM2","blue"
"SLC7A9","magenta"
"C1R","turquoise"
"ZNF860","brown"
"TRP-AGG2-6","black"
"SNORA27","red"
"KPNA7","brown"
"SPOCD1","turquoise"
"EHBP1L1","turquoise"
"ALPK3","tan"
"PLIN2","brown"
"LOC105377782","blue"
"POC1B-GALNT4","yellow"
"NDC80","brown"
"CHL1","green"
"DKK3","turquoise"
"GBP2","brown"
"MST1P2","blue"
"CIMAP3","blue"
"SLC3A1","blue"
"DNASE1","blue"
"OSBPL3","brown"
"LOC105371754","blue"
"GPR132","turquoise"
"TBX3","brown"
"TCIRG1","blue"
"LOC112268061","turquoise"
"ARC","black"
"DPY19L2","tan"
"ERICH5","blue"
"LOC100128253","blue"
"TFAP2A","brown"
"GGH","brown"
"GOLGA8N","blue"
"HHEX","blue"
"CAMK1D","blue"
"112267915","turquoise"
"PTPRH","yellow"
"CARMN","turquoise"
"SPRR3","turquoise"
"RIMS2","pink"
"MIR4260","brown"
"ABCC9","turquoise"
"LOC101929532","turquoise"
"LHFPL3-AS2","blue"
"INMT","green"
"RGPD1","grey"
"HLA-DRB1","turquoise"
"KIF18A","brown"
"RNU6-2","red"
"FGB","grey"
"NCF2","turquoise"
"CD28","turquoise"
"GREB1","blue"
"F2R","turquoise"
"GJA1","turquoise"
"GPC3","tan"
"MAP2","blue"
"NDE1","turquoise"
"TOX3","yellow"
"FOXP2","blue"
"IFI44","turquoise"
"LOC105370780","blue"
"GJB4","brown"
"CYP4F11","brown"
"TMPRSS6","pink"
"IGHV1-58","black"
"MEIS1","blue"
"CACNA1C","turquoise"
"IL1B","purple"
"ZFHX4","turquoise"
"HLA-DQB2","turquoise"
"SPC24","brown"
"NEDD4L","blue"
"RACGAP1","brown"
"CDA","brown"
"SLC6A8","brown"
"CCDC69","blue"
"TNFRSF11A","yellow"
"TGFB3","turquoise"
"LOC100128770","blue"
"ZNF831","turquoise"
"CLSTN2","green"
"MIR4435-2HG","turquoise"
"LOC105373451","blue"
"P4HB","blue"
"SLC24A2","turquoise"
"AKR7L","magenta"
"SULF2","turquoise"
"CES2","magenta"
"IFITM1","brown"
"GNA15","greenyellow"
"PSMB8","brown"
"HLA-DMB","turquoise"
"CLDN23","brown"
"MTUS2","blue"
"MEGF6","turquoise"
"SPMIP5","blue"
"PLXDC2","turquoise"
"UNC5CL","yellow"
"HTRA1","turquoise"
"GIPR","grey"
"ZNF385D","green"
"NR1H4","blue"
"TF","blue"
"BICDL3P","yellow"
"SLC7A5","purple"
"GAS1RR","blue"
"SERTAD1","brown"
"PNPLA7","blue"
"ATOH1","salmon"
"MFGE8","turquoise"
"H3C4","brown"
"DUSP4","blue"
"SUSD2","magenta"
"CYSTM1","yellow"
"RASSF2","turquoise"
"LINC00278","grey"
"GBP1","brown"
"NID2","turquoise"
"C1QTNF1","green"
"ADM","brown"
"ERO1A","brown"
"GALNT3","yellow"
"ADAM9","brown"
"FBLN5","tan"
"HAS1","black"
"CD52","turquoise"
"C3orf52","blue"
"CCR4","turquoise"
"MAF","turquoise"
"CENPI","brown"
"FER1L6-AS2","yellow"
"CR1","turquoise"
"RAC2","turquoise"
"POU5F1","grey"
"PTHLH","greenyellow"
"P4HA3","turquoise"
"SLC24A3","brown"
"SULT1E1","brown"
"HLA-DPA1","turquoise"
"H3C8","brown"
"MXRA8","turquoise"
"PGA5","grey"
"CTSV","brown"
"SNAP25","pink"
"XIRP1","turquoise"
"BCL2L15","yellow"
"PTGER3","tan"
"A2ML1","greenyellow"
"PLEKHG2","turquoise"
"107986413","turquoise"
"GRIA2","pink"
"ENTPD8","yellow"
"ABCA9","tan"
"CYTOR","turquoise"
"SPOCK2","purple"
"SOWAHA","yellow"
"IGHV4-34","purple"
"IGLV2-8","purple"
"ANKEF1","blue"
"FRRS1L","pink"
"CEP164","blue"
"ABCG5","magenta"
"MARVELD1","turquoise"
"IGLJ3","purple"
"HSPB6","green"
"IL33","turquoise"
"CSTB","brown"
"CHSY3","turquoise"
"NEGR1","tan"
"F2RL1","yellow"
"TIMP4","green"
"EMP3","turquoise"
"PKHD1L1","blue"
"107984567","brown"
"WNT7B","greenyellow"
"PAPLN","turquoise"
"PKIA","turquoise"
"FOLH1B","magenta"
"ST3GAL4","brown"
"APOA1-AS","magenta"
"IGF2","turquoise"
"SLC39A4","yellow"
"ZFAS1","brown"
"ART4","tan"
"IGFBP6","turquoise"
"TESC","grey"
"FMO2","tan"
"PLA2R1","brown"
"PIK3R5","turquoise"
"TPRG1","turquoise"
"MMD","turquoise"
"NKX2-2","pink"
"KRT7-AS","turquoise"
"SMOC1","blue"
"RNU6-1","red"
"CKLF","brown"
"FGR","turquoise"
"KIRREL1","turquoise"
"CD300A","turquoise"
"NKD1","turquoise"
"PRDM1","brown"
"RPH3AL","blue"
"HIF3A","green"
"COL18A1-AS1","tan"
"EDN3","magenta"
"SNORA38B","red"
"ATF3","black"
"GAS7","green"
"TRG-TCC2-6","red"
"ADAMTS9","green"
"PLCD3","brown"
"DNAJA4","brown"
"TROAP","brown"
"H4C15","brown"
"EVA1A","blue"
"MARCKSL1","yellow"
"MIR4680","blue"
"ABI3BP","turquoise"
"RRAD","turquoise"
"IGHJ3","purple"
"TLCD4","blue"
"RGS16","black"
"PRH1-PRR4","black"
"EBF2","green"
"CACNA2D1","turquoise"
"CILP2","turquoise"
"GALNT6","yellow"
"AJAP1","blue"
"ABCG8","magenta"
"COX7A1","salmon"
"KITLG","turquoise"
"PCDH17","blue"
"ACP5","turquoise"
"IGHV1-24","purple"
"MOGAT3","yellow"
"FA2H","yellow"
"SYT7","pink"
"ZBTB7C","yellow"
"HLA-DQA2","turquoise"
"FKBP11","blue"
"MSX2","brown"
"107986170","blue"
"KRT6C","greenyellow"
"H4C14","brown"
"ZNF704","blue"
"CD300E","turquoise"
"KIF20A","brown"
"SHCBP1","brown"
"BUB1B","brown"
"CORIN","turquoise"
"RAP1B","brown"
"CD84-AS1","blue"
"PHACTR3","brown"
"GPRIN1","yellow"
"PDZK1","blue"
"LRRC32","turquoise"
"HCAR1","greenyellow"
"ECHDC3","blue"
"SAA2-SAA4","green"
"C1QC","turquoise"
"LOC101928351","black"
"FGF12","blue"
"LOC105371114","yellow"
"SOD3","blue"
"NOTCH3","turquoise"
"SYT14","pink"
"H2BC10","brown"
"BRINP3","salmon"
"HLA-A","brown"
"MIOS-DT","blue"
"CPZ","turquoise"
"MIR22HG","black"
"NEXMIF","blue"
"GYG2","green"
"KCNB1","green"
"SPARCL1","turquoise"
"H2BC14","brown"
"PELI2","blue"
"PERP","brown"
"GALNT15","turquoise"
"RIPOR2","turquoise"
"101928152","black"
"BMP5","pink"
"SNORA50A","red"
"LOC105375886","grey"
"SCNN1G","blue"
"GCKR","yellow"
"CLEC2B","turquoise"
"AURKA","brown"
"VTN","blue"
"LOXL2","turquoise"
"MS4A7","turquoise"
"HNF1A-AS1","blue"
"VIM-AS1","green"
"FCN1","green"
"NCKAP1L","turquoise"
"NFASC","green"
"IFIT1","turquoise"
"MMP16","turquoise"
"LINC02347","blue"
"NLRP1","turquoise"
"MCU","yellow"
"SHC2","blue"
"CTTNBP2","blue"
"IKZF1","turquoise"
